uid,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167676976.0,34,,,,,
167677424.0,3,2.0,2.0,2.0,2.0,2.0
167678992.0,21,19.0,2.0,2.0,,
167679008.0,12,12.0,12.0,11.0,5.0,3.0
167679232.0,29,21.0,21.0,19.0,15.0,14.0
167679296.0,48,41.0,37.0,30.0,21.0,11.0
167679392.0,11,3.0,3.0,2.0,2.0,
167679552.0,46,9.0,9.0,8.0,8.0,8.0
167679728.0,107,100.0,66.0,33.0,3.0,3.0
167680224.0,138,37.0,18.0,18.0,1.0,
167681072.0,15,3.0,2.0,2.0,2.0,2.0
167681200.0,115,107.0,63.0,62.0,61.0,61.0
167681504.0,2,2.0,2.0,1.0,1.0,1.0
167681648.0,9,4.0,3.0,2.0,2.0,2.0
167682896.0,172,116.0,12.0,,,
167683184.0,12,10.0,9.0,3.0,,
167683200.0,3,2.0,2.0,2.0,2.0,2.0
167683552.0,130,31.0,30.0,7.0,5.0,4.0
167683664.0,22,16.0,13.0,3.0,3.0,3.0
167683712.0,9,2.0,,,,
167683728.0,234,15.0,7.0,5.0,5.0,5.0
167683760.0,18,9.0,9.0,9.0,8.0,7.0
167684624.0,43,33.0,19.0,18.0,10.0,10.0
167684784.0,6,6.0,4.0,2.0,2.0,2.0
167684992.0,5,,,,,
167685040.0,31,27.0,24.0,,,
167685360.0,76,74.0,33.0,31.0,31.0,31.0
167686080.0,12,4.0,4.0,3.0,3.0,2.0
167686512.0,1,,,,,
