uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167722928.0,2,1.0,,,
167723040.0,21,7.0,5.0,5.0,5.0
167723056.0,10,9.0,7.0,3.0,3.0
167723344.0,87,53.0,,,
167723536.0,560,560.0,466.0,466.0,466.0
167724768.0,1,,,,
167724864.0,3,3.0,3.0,3.0,2.0
167725344.0,58,58.0,34.0,31.0,30.0
167726000.0,27,27.0,4.0,,
167726416.0,4,,,,
167726464.0,8,7.0,6.0,6.0,2.0
167727280.0,16,7.0,3.0,3.0,3.0
167727744.0,154,154.0,12.0,12.0,12.0
167727952.0,3,3.0,1.0,1.0,1.0
167728512.0,34,27.0,17.0,16.0,16.0
167728592.0,91,91.0,89.0,28.0,8.0
167728752.0,16,16.0,1.0,1.0,1.0
167729616.0,13,13.0,8.0,8.0,8.0
167729936.0,1,1.0,1.0,1.0,1.0
167729968.0,1,1.0,1.0,,
167730816.0,297,294.0,294.0,292.0,292.0
167730880.0,98,97.0,70.0,68.0,61.0
167730960.0,3,,,,
167731232.0,3,1.0,,,
167731296.0,12,7.0,2.0,1.0,1.0
167731488.0,73,55.0,11.0,11.0,11.0
167731744.0,3,,,,
167731776.0,3,2.0,,,
167732256.0,16,16.0,7.0,7.0,
167732656.0,186,186.0,186.0,111.0,111.0
167732768.0,3,3.0,3.0,3.0,3.0
167733680.0,3,2.0,,,
167733776.0,7,,,,
167734512.0,9,9.0,9.0,9.0,9.0
167734800.0,5,2.0,1.0,1.0,1.0
167734992.0,86,65.0,18.0,13.0,13.0
167735456.0,17,17.0,,,
167736176.0,2,,,,
167737248.0,30,17.0,17.0,14.0,14.0
167738592.0,9,6.0,,,
167738736.0,8,6.0,6.0,6.0,6.0
167739104.0,57,53.0,6.0,3.0,3.0
167739248.0,25,20.0,20.0,16.0,16.0
167739792.0,2,,,,
167740384.0,7,1.0,1.0,1.0,1.0
167740752.0,10,2.0,,,
167741152.0,16,16.0,16.0,16.0,16.0
167741648.0,5,4.0,3.0,3.0,1.0
167741824.0,1,1.0,,,
167742048.0,1,1.0,,,
167742512.0,10,3.0,3.0,3.0,3.0
167742912.0,51,40.0,39.0,30.0,30.0
167743072.0,31,27.0,27.0,27.0,27.0
167743328.0,71,63.0,63.0,11.0,11.0
167744000.0,9,9.0,6.0,,
167744016.0,22,12.0,12.0,11.0,8.0
167744032.0,10,10.0,5.0,5.0,5.0
167744464.0,3,3.0,,,
167745760.0,20,16.0,14.0,14.0,14.0
167746080.0,3,1.0,,,
167746864.0,8,8.0,8.0,6.0,4.0
167746992.0,1,1.0,1.0,,
167747040.0,3,3.0,1.0,1.0,
167747200.0,6,6.0,2.0,2.0,2.0
167747312.0,1,,,,
167747344.0,7,7.0,1.0,,
167747552.0,27,2.0,1.0,1.0,1.0
167747568.0,3,3.0,3.0,3.0,3.0
167747696.0,13,13.0,9.0,3.0,2.0
167747744.0,2,2.0,,,
167748176.0,12,4.0,3.0,2.0,2.0
167748512.0,9,5.0,2.0,2.0,2.0
167748768.0,581,577.0,577.0,214.0,214.0
167748880.0,23,23.0,,,
167748928.0,3,2.0,,,
167749104.0,1,1.0,1.0,1.0,
167749120.0,13,13.0,8.0,7.0,6.0
167749232.0,15,15.0,15.0,14.0,11.0
167749472.0,440,439.0,437.0,424.0,393.0
167749568.0,41,6.0,1.0,,
