uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,last_search,last_download,Churn,last_play,device_ar,device_both,device_ip,precent
168520640,1554.0,189.54697554697555,767.0,189.90482398956973,497.0,200.9235412474849,251.0,214.75697211155375,81.0,217.7283950617284,33.0,241.84848484848484,163.0,88.0,81.0,40.0,39.0,39.0,108.0,17.0,14.0,7.0,7.0,7.0,5.0,9.0,0,1,1,0,0,0.7793393940035348
168520800,14.0,189.35714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,1,27,1,0,0,0.8623942745608327
168521040,292.0,223.76027397260276,187.0,219.33155080213902,103.0,224.15533980582524,45.0,222.0,0.0,0.0,0.0,0.0,16.0,8.0,7.0,4.0,0.0,0.0,31.0,3.0,3.0,1.0,0.0,0.0,6.0,6.0,0,5,0,1,0,0.9360208584035299
168521408,867.0,199.88465974625146,650.0,185.23076923076923,386.0,189.83937823834202,127.0,202.1889763779528,38.0,195.94736842105263,7.0,205.28571428571428,152.0,123.0,95.0,23.0,4.0,3.0,16.0,6.0,2.0,2.0,2.0,2.0,3.0,16.0,0,1,1,0,0,0.5973802137194071
168521888,678.0,222.0634218289086,522.0,223.69157088122608,370.0,205.2891891891892,5.0,92.2,0.0,0.0,0.0,0.0,51.0,42.0,39.0,18.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,0,7,0,1,0,0.9533515697225282
168522048,989.0,245.4285715065723,803.0,244.5502580572852,520.0,255.63818696153848,205.0,280.2140104146341,187.0,226.0207066042781,61.0,196.11475409836063,18.0,15.0,8.0,2.0,1.0,1.0,31.0,12.0,3.0,0.0,0.0,0.0,7.0,8.0,0,1,0,1,0,0.8162387742679639
168522064,3059.0,216.6515201046093,2156.0,216.74165120593688,1137.0,210.9744942832014,35.0,199.14285714285717,25.0,216.0,4.0,216.0,72.0,33.0,22.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,90.0,0,1,0,1,0,0.9310130716658823
168522320,654.0,117.13608562691131,285.0,137.14385964912282,129.0,225.49612403100772,49.0,214.16326530612244,40.0,212.15,0.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,176.0,2.0,2.0,1.0,1.0,1.0,14.0,14.0,0,2,1,0,0,0.464653755405807
168522784,340.0,118.07352941176471,156.0,140.51923076923077,61.0,209.03278688524588,47.0,219.3617021276596,7.0,208.28571428571428,7.0,208.28571428571428,57.0,35.0,32.0,31.0,28.0,28.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,24.0,0,1,0,1,0,0.6817873034204002
168522992,850.0,176.97058823529412,629.0,184.84419713831483,441.0,195.74149659863946,150.0,212.18,53.0,210.33962264150944,27.0,203.88888888888889,111.0,93.0,69.0,31.0,17.0,16.0,296.0,279.0,0.0,0.0,0.0,0.0,1.0,19.0,0,1,0,1,0,0.6721673347006805
168523024,299.0,206.39464882943142,131.0,228.25954198473286,87.0,225.2183908045977,7.0,134.71428571428572,0.0,0.0,0.0,0.0,19.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,10.0,12.0,0,6,0,1,0,0.8422431794297881
168523120,740.0,160.21216216216214,471.0,178.1104033970276,322.0,185.40993788819873,151.0,194.75496688741725,40.0,186.925,40.0,186.925,161.0,94.0,65.0,22.0,17.0,17.0,17.0,6.0,5.0,5.0,5.0,5.0,1.0,20.0,0,1,0,1,0,0.6394867147804136
